N,P,K,temperature,humidity,ph,rainfall,label,date,tempreature,humidity,water_level,N,P,K,Fan_actuator_OFF,Fan_actuator_ON,Watering_plant_pump_OFF,Watering_plant_pump_ON,Water_pump_actuator_OFF,Water_pump_actuator_ON
90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,2024-02-08 06:10:00,41,63,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,rice,2024-02-08 06:15:00,41,59,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,rice,2024-02-08 06:20:00,41,62,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,rice,2024-02-08 06:05:00,40,60,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,rice,2024-02-08 06:00:00,39,61,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,rice,2024-01-18 06:02:00,38,64,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,rice,2024-01-18 06:07:00,38,65,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,2024-01-18 06:12:00,38,64,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,2024-01-18 05:02:00,37,62,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,rice,2024-01-18 05:07:00,37,63,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,rice,2024-01-18 05:12:00,37,61,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,rice,2024-01-18 05:17:00,37,64,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,rice,2024-01-18 05:22:00,37,61,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,rice,2024-01-18 05:37:00,37,63,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,rice,2024-01-18 05:42:00,37,66,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,2024-01-18 05:47:00,37,62,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,2024-01-18 05:52:00,37,64,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
